run_id	variant_group_id	gene_symbol	display_group	group_id	stage	n_tracks	n_raw_effect_rows	n_duplicate_effect_rows	median_effect	min_effect	max_effect	included_in_brain9
ccg07_RNPEPL1_del3	RNPEPL1_del3	RNPEPL1	Whole brain	adult__brain__brain_region_unspecified	adult	1	1	0	-0.02846878726	-0.02846878726	-0.02846878726	True
ccg07_RNPEPL1_del3	RNPEPL1_del3	RNPEPL1	Embryo	brain__embryo	embryonic	7	7	0	-0.03479826493	-0.045865356785	-0.02551293336	True
ccg08_GSK3B_del1	GSK3B_del1	GSK3B	Cerebral cortex	adult__brain__cerebral_cortex	adult	4	4	0	0.010317131825	0.00799828765	0.0118119419	True
ccg08_GSK3B_del1	GSK3B_del1	GSK3B	Hippocampal formation	adult__brain__hippocampal_formation	adult	1	1	0	0.00872409345	0.00872409345	0.00872409345	True
ccg08_GSK3B_del1	GSK3B_del1	GSK3B	Basal ganglia / striatum	adult__brain__basal_ganglia_striatum	adult	3	3	0	0.0067447424999999995	0.006132513250000001	0.00804644825	True
ccg08_GSK3B_del1	GSK3B_del1	GSK3B	Amygdala	adult__brain__amygdala	adult	1	1	0	0.00764718645	0.00764718645	0.00764718645	True
ccg08_GSK3B_del1	GSK3B_del1	GSK3B	Diencephalic regions	adult__brain__diencephalic_regions	adult	1	1	0	0.00762116925	0.00762116925	0.00762116925	True
ccg08_GSK3B_del1	GSK3B_del1	GSK3B	Midbrain	adult__brain__midbrain	adult	1	1	0	0.0058252812	0.0058252812	0.0058252812	True
ccg08_GSK3B_del1	GSK3B_del1	GSK3B	Cerebellum	adult__brain__cerebellum	adult	2	2	0	0.016193300775000002	0.0153249804	0.01706162115	True
ccg08_GSK3B_del1	GSK3B_del1	GSK3B	Whole brain	adult__brain__brain_region_unspecified	adult	1	1	0	0.011072844194999999	0.011072844194999999	0.011072844194999999	True
ccg08_GSK3B_del1	GSK3B_del1	GSK3B	Embryo	brain__embryo	embryonic	7	7	0	0.019828081635	0.01194629095	0.026396989585	True
ccg09_SPSB4_snv	SPSB4_snv	SPSB4	Cerebral cortex	adult__brain__cerebral_cortex	adult	4	4	0	0.0391643639425	0.031546115412500006	0.04067063361	True
ccg09_SPSB4_snv	SPSB4_snv	SPSB4	Hippocampal formation	adult__brain__hippocampal_formation	adult	1	1	0	0.038022161024999994	0.038022161024999994	0.038022161024999994	True
ccg09_SPSB4_snv	SPSB4_snv	SPSB4	Basal ganglia / striatum	adult__brain__basal_ganglia_striatum	adult	3	3	0	0.035256981895000004	0.034759282675	0.035257101055000004	True
ccg09_SPSB4_snv	SPSB4_snv	SPSB4	Amygdala	adult__brain__amygdala	adult	1	1	0	0.038118720365000004	0.038118720365000004	0.038118720365000004	True
ccg09_SPSB4_snv	SPSB4_snv	SPSB4	Diencephalic regions	adult__brain__diencephalic_regions	adult	1	1	0	0.0331707001	0.0331707001	0.0331707001	True
ccg09_SPSB4_snv	SPSB4_snv	SPSB4	Midbrain	adult__brain__midbrain	adult	1	1	0	0.035276054960000004	0.035276054960000004	0.035276054960000004	True
ccg09_SPSB4_snv	SPSB4_snv	SPSB4	Cerebellum	adult__brain__cerebellum	adult	2	2	0	0.047848582225000005	0.046443224265000006	0.049253940185	True
ccg09_SPSB4_snv	SPSB4_snv	SPSB4	Whole brain	adult__brain__brain_region_unspecified	adult	1	1	0	0.029923141162549998	0.029923141162549998	0.029923141162549998	True
ccg09_SPSB4_snv	SPSB4_snv	SPSB4	Embryo	brain__embryo	embryonic	7	7	0	0.03374868519	0.029497981439999998	0.036574244465	True
ccg10_GPRIN1_del6	GPRIN1_del6	GPRIN1	Cerebral cortex	adult__brain__cerebral_cortex	adult	4	4	0	0.06947655247500001	0.06638613315	0.0722745803	True
ccg10_GPRIN1_del6	GPRIN1_del6	GPRIN1	Hippocampal formation	adult__brain__hippocampal_formation	adult	1	1	0	0.06872251130000001	0.06872251130000001	0.06872251130000001	True
ccg10_GPRIN1_del6	GPRIN1_del6	GPRIN1	Basal ganglia / striatum	adult__brain__basal_ganglia_striatum	adult	3	3	0	0.0696010663	0.068582144	0.07016122035000001	True
ccg10_GPRIN1_del6	GPRIN1_del6	GPRIN1	Amygdala	adult__brain__amygdala	adult	1	1	0	0.06568867935	0.06568867935	0.06568867935	True
ccg10_GPRIN1_del6	GPRIN1_del6	GPRIN1	Diencephalic regions	adult__brain__diencephalic_regions	adult	1	1	0	0.07410751725	0.07410751725	0.07410751725	True
ccg10_GPRIN1_del6	GPRIN1_del6	GPRIN1	Midbrain	adult__brain__midbrain	adult	1	1	0	0.06740719095	0.06740719095	0.06740719095	True
ccg10_GPRIN1_del6	GPRIN1_del6	GPRIN1	Cerebellum	adult__brain__cerebellum	adult	2	2	0	0.06463976539749999	0.062800471345	0.06647905945	True
ccg10_GPRIN1_del6	GPRIN1_del6	GPRIN1	Whole brain	adult__brain__brain_region_unspecified	adult	1	1	0	0.039750248599999996	0.039750248599999996	0.039750248599999996	True
ccg10_GPRIN1_del6	GPRIN1_del6	GPRIN1	Embryo	brain__embryo	embryonic	7	7	0	0.03086292335	0.02529279125	0.044317686450000005	True
ccg11_AUTS2_del6	AUTS2_del6	AUTS2	Cerebral cortex	adult__brain__cerebral_cortex	adult	4	4	0	-0.00964254147	-0.0108208656	-0.0022460817100000002	True
ccg11_AUTS2_del6	AUTS2_del6	AUTS2	Hippocampal formation	adult__brain__hippocampal_formation	adult	1	1	0	-0.008982419949999999	-0.008982419949999999	-0.008982419949999999	True
ccg11_AUTS2_del6	AUTS2_del6	AUTS2	Basal ganglia / striatum	adult__brain__basal_ganglia_striatum	adult	3	3	0	-0.00720560537	-0.007658004775	-0.0068200827	True
ccg11_AUTS2_del6	AUTS2_del6	AUTS2	Amygdala	adult__brain__amygdala	adult	1	1	0	-0.00828504555	-0.00828504555	-0.00828504555	True
ccg11_AUTS2_del6	AUTS2_del6	AUTS2	Diencephalic regions	adult__brain__diencephalic_regions	adult	1	1	0	-0.00854825973	-0.00854825973	-0.00854825973	True
ccg11_AUTS2_del6	AUTS2_del6	AUTS2	Midbrain	adult__brain__midbrain	adult	1	1	0	-0.010358095000000001	-0.010358095000000001	-0.010358095000000001	True
ccg11_AUTS2_del6	AUTS2_del6	AUTS2	Cerebellum	adult__brain__cerebellum	adult	2	2	0	-0.01106894005	-0.01159322275	-0.01054465735	True
ccg11_AUTS2_del6	AUTS2_del6	AUTS2	Whole brain	adult__brain__brain_region_unspecified	adult	1	1	0	-0.010463595105000001	-0.010463595105000001	-0.010463595105000001	True
ccg11_AUTS2_del6	AUTS2_del6	AUTS2	Embryo	brain__embryo	embryonic	7	7	0	0.00232715905	0.001266837095	0.007385224	True
ccg12_CNTFR_snv	CNTFR_snv	CNTFR	Cerebral cortex	adult__brain__cerebral_cortex	adult	4	4	0	0.00415484610125	0.0035500526825	0.008197695195	True
ccg12_CNTFR_snv	CNTFR_snv	CNTFR	Hippocampal formation	adult__brain__hippocampal_formation	adult	1	1	0	0.00698938967	0.00698938967	0.00698938967	True
ccg12_CNTFR_snv	CNTFR_snv	CNTFR	Basal ganglia / striatum	adult__brain__basal_ganglia_striatum	adult	3	3	0	0.00558030603	0.004630774265	0.00624638794	True
ccg12_CNTFR_snv	CNTFR_snv	CNTFR	Amygdala	adult__brain__amygdala	adult	1	1	0	0.0055864752	0.0055864752	0.0055864752	True
ccg12_CNTFR_snv	CNTFR_snv	CNTFR	Diencephalic regions	adult__brain__diencephalic_regions	adult	1	1	0	0.012245178165	0.012245178165	0.012245178165	True
ccg12_CNTFR_snv	CNTFR_snv	CNTFR	Midbrain	adult__brain__midbrain	adult	1	1	0	0.01370728048	0.01370728048	0.01370728048	True
ccg12_CNTFR_snv	CNTFR_snv	CNTFR	Cerebellum	adult__brain__cerebellum	adult	2	2	0	0.00524279480525	0.0050433278405	0.00544226177	True
ccg12_CNTFR_snv	CNTFR_snv	CNTFR	Whole brain	adult__brain__brain_region_unspecified	adult	1	1	0	0.012527078725	0.012527078725	0.012527078725	True
ccg12_CNTFR_snv	CNTFR_snv	CNTFR	Embryo	brain__embryo	embryonic	7	7	0	0.0210161208	0.004460632785	0.029316365225	True
